Field,Value
Commits Overview,
Total Commits,18898
Total Unique Authors,1005
,
Top 10 Contributors,
Author,Commits
Sergey M․,8880
Philipp Hagemeister,5006
Yen Chi Hsuan,1996
Jaime Marquínez Ferrándiz,1985
Remita Amine,1743
remitamine,733
dirkf,503
Filippo Valsorda,404
Ricardo Garcia,343
Jouke Waleson,282
,
Communication Events,Total: 2540
"Author1,Author2",Events
"Philipp Hagemeister,Jaime Marquínez Ferrándiz",132
"Jaime Marquínez Ferrándiz,Philipp Hagemeister",120
"Yen Chi Hsuan,Sergey M․",100
"Sergey M․,Yen Chi Hsuan",86
"Sergey M․,Jaime Marquínez Ferrándiz",60
"Remita Amine,Sergey M․",59
"remitamine,Sergey M․",51
"Sergey M․,Remita Amine",50
"Sergey M․,Philipp Hagemeister",46
"Filippo Valsorda,Philipp Hagemeister",43
"Philipp Hagemeister,Sergey M․",39
"Jaime Marquínez Ferrándiz,Sergey M․",25
"Philipp Hagemeister,Filippo Valsorda",22
"Jouke Waleson,Philipp Hagemeister",21
"Sergey M․,remitamine",20
"Yen Chi Hsuan,Remita Amine",13
"peugeot,Sergey M․",12
"TRox1972,Sergey M․",10
"Naglis Jonaitis,Sergey M․",10
"ping,Sergey M․",10
"Yen Chi Hsuan,remitamine",10
"M.Yasoob Khalid,Jaime Marquínez Ferrándiz",10
"Jaime Marquínez Ferrándiz,Filippo Valsorda",10
"felix,Sergey M․",9
"Déstin Reed,Sergey M․",9
"John Hawkinson,Sergey M․",9
"Jaime Marquínez Ferrándiz,Yen Chi Hsuan",8
"Yen Chi Hsuan,Jaime Marquínez Ferrándiz",8
"gcmalloc,Filippo Valsorda",8
"Filippo Valsorda,Jaime Marquínez Ferrándiz",8
"Alex Seiler,Sergey M․",8
"remitamine,Jaime Marquínez Ferrándiz",8
"M.Yasoob Khalid,Philipp Hagemeister",8
"Naglis Jonaitis,Philipp Hagemeister",8
"Lukáš Lalinský,Sergey M․",7
"ping,Yen Chi Hsuan",7
"Philipp Hagemeister,Jouke Waleson",7
"rzhxeo,Jaime Marquínez Ferrándiz",7
"Philipp Hagemeister,rzhxeo",7
"dst,Philipp Hagemeister",7
"Remita Amine,Yen Chi Hsuan",7
"Timendum,Sergey M․",7
"Sergey M․,Naglis Jonaitis",6
"Sergey M.,Philipp Hagemeister",6
"Jaime Marquínez Ferrándiz,Ismael Mejia",6
"Philipp Hagemeister,Ismael Mejia",5
"Pierre Rudloff,Jaime Marquínez Ferrándiz",5
"Philipp Hagemeister,M.Yasoob Khalid",5
"Jeff Buchbinder,Sergey M․",5
"Ricardo Constantino,Sergey M․",5
"Kacper Michajłow,Sergey M․",5
"Johny Mo Swag,Philipp Hagemeister",5
"Philipp Hagemeister,gcmalloc",5
"fnord,Sergey M․",5
"remitamine,Yen Chi Hsuan",5
