author,timestamp,file
hiyouga,2023-05-28 18:09:04+08:00,.gitattributes
hiyouga,2023-05-28 18:09:04+08:00,LICENSE
hiyouga,2023-05-28 18:09:04+08:00,README.md
hiyouga,2023-05-28 18:09:04+08:00,data/README.md
hiyouga,2023-05-28 18:09:04+08:00,data/alpaca_data_en_52k.json.REMOVED.git-id
hiyouga,2023-05-28 18:09:04+08:00,data/alpaca_data_zh_51k.json.REMOVED.git-id
hiyouga,2023-05-28 18:09:04+08:00,data/alpaca_gpt4_data_en.json.REMOVED.git-id
hiyouga,2023-05-28 18:09:04+08:00,data/alpaca_gpt4_data_zh.json.REMOVED.git-id
hiyouga,2023-05-28 18:09:04+08:00,data/comparison_gpt4_data_en.json.REMOVED.git-id
hiyouga,2023-05-28 18:09:04+08:00,data/comparison_gpt4_data_zh.json.REMOVED.git-id
hiyouga,2023-05-28 18:09:04+08:00,data/dataset_info.json
hiyouga,2023-05-28 18:09:04+08:00,data/example_dataset/example_dataset.py
hiyouga,2023-05-28 18:09:04+08:00,data/example_dataset/examples.json
hiyouga,2023-05-28 18:09:04+08:00,data/hh_rlhf_en/hh_rlhf_en.py
hiyouga,2023-05-28 18:09:04+08:00,data/ultra_chat/ultra_chat.py
hiyouga,2023-05-28 18:09:04+08:00,src/__init__.py
hiyouga,2023-05-28 18:09:04+08:00,src/cli_demo.py
hiyouga,2023-05-28 18:09:04+08:00,src/export_model.py
hiyouga,2023-05-28 18:09:04+08:00,src/train_ppo.py
hiyouga,2023-05-28 18:09:04+08:00,src/train_rm.py
hiyouga,2023-05-28 18:09:04+08:00,src/train_sft.py
hiyouga,2023-05-28 18:09:04+08:00,src/utils/__init__.py
hiyouga,2023-05-28 18:09:04+08:00,src/utils/common.py
hiyouga,2023-05-28 18:09:04+08:00,src/utils/config.py
hiyouga,2023-05-28 18:09:04+08:00,src/utils/data_collator.py
hiyouga,2023-05-28 18:09:04+08:00,src/utils/other.py
hiyouga,2023-05-28 18:09:04+08:00,src/utils/pairwise.py
hiyouga,2023-05-28 18:09:04+08:00,src/utils/peft_trainer.py
hiyouga,2023-05-28 18:09:04+08:00,src/utils/ppo.py
hiyouga,2023-05-28 18:09:04+08:00,src/utils/seq2seq.py
hiyouga,2023-05-28 18:09:04+08:00,src/web_demo.py
hiyouga,2023-05-28 21:30:28+08:00,src/train_ppo.py
hiyouga,2023-05-28 21:30:28+08:00,src/train_rm.py
hiyouga,2023-05-28 21:30:28+08:00,src/train_sft.py
hiyouga,2023-05-28 21:30:28+08:00,src/utils/__init__.py
hiyouga,2023-05-28 21:30:28+08:00,src/utils/common.py
