Project_Name,Author,Commit_Date,Message,Repo_Path,Code_Churn,Local_Commit_Time,Avg_Complexity,Project_Age_(Years),Total_Commits,Sentiment,Negative Commit Percentage
activist,Andrew Tavis,2021-02-27 19:06:43+00:00,Change logo to just borders,https://github.com/activist-org/activist,0,2021-02-27 18:06:43-01:00,0.0,4.112251882272417,43,neutral,2.3255813953488373
activist,Andrew Tavis McAllister,2022-06-02 10:59:49+00:00,File deleltion and readme changes to set basis for Vue/Django implementation,https://github.com/activist-org/activist,-1951,2022-06-02 08:59:49-02:00,0.0,4.112251882272417,1635,neutral,4.281345565749235
activist,dependabot[bot],2022-07-05 22:38:09+00:00,"Bump django from 4.0.5 to 4.0.6

Bumps [django](https://github.com/django/django) from 4.0.5 to 4.0.6.
- [Release notes](https://github.com/django/django/releases)
- [Commits](https://github.com/django/django/compare/4.0.5...4.0.6)

---
updated-dependencies:
- dependency-name: django
  dependency-type: direct:production
...

Signed-off-by: dependabot[bot] <support@github.com>",https://github.com/activist-org/activist,0,2022-07-05 22:38:09+00:00,0.0,4.112251882272417,58,neutral,0.0
activist,wkyoshida,2023-03-08 00:38:15+00:00,fix: changes to docker files for usability,https://github.com/activist-org/activist,-10,2023-03-08 03:38:15+03:00,0.0,4.112251882272417,24,neutral,0.0
activist,momanyisamuel,2023-03-08 08:28:09+00:00,Put exterior link icons on text baseline in /supporters and /supporter/join #70,https://github.com/activist-org/activist,0,2023-03-08 05:28:09-03:00,0.0,4.112251882272417,56,neutral,0.0
activist,anthonyshibitov,2023-05-22 23:31:32+00:00,"Add height and width to Logo components in LandingPageLogoImage

Fix Safari mobile click area bug by explicitly stating the height and width
of the Logo components in LandingPageLogoImage. Previously, the clickable
area was spilling out of the LandingPageLogoImage component.

Since the SVGs are now resized to this 200/250px width, scale-[x] can be mostly
removed except to fix small spacing/aesthetic issues. I left scaling in the
WikimediaRS and ImpactHub components to match what it looked like beforehand.

This could be further fixed by using SVGs specifically made for the Supporters
section, instead of scaling them via tailwind.",https://github.com/activist-org/activist,0,2023-05-23 03:31:32+04:00,0.0,4.112251882272417,21,neutral,14.285714285714285
activist,tosta,2023-07-30 11:28:46+00:00,footer adjusted for small screens,https://github.com/activist-org/activist,-85,2023-07-30 09:28:46-02:00,0.0,4.112251882272417,224,neutral,5.357142857142857
activist,Felipe Archanjo,2023-08-24 22:16:28+00:00,Adding labels for all the pages into the en-US.json file,https://github.com/activist-org/activist,410,2023-08-25 01:16:28+03:00,0.0,4.112251882272417,40,neutral,0.0
activist,kurtisolo,2023-08-26 07:43:03+00:00,"improved backend/apps/models.py

Each field without a default value has been fixed, more details in the comment on models.py",https://github.com/activist-org/activist,14,2023-08-26 05:43:03-02:00,26.0,4.112251882272417,26,neutral,0.0
activist,thiagogquinto,2023-09-04 02:59:03+00:00,done: all serializers implemented,https://github.com/activist-org/activist,282,2023-09-04 05:59:03+03:00,1.2,4.112251882272417,58,neutral,5.172413793103448
activist,José Rigoberto Salas Chacón,2023-09-22 23:00:18+00:00,fix: fix linter issue related to uuid,https://github.com/activist-org/activist,0,2023-09-23 04:00:18+05:00,0.0,4.112251882272417,31,neutral,0.0
activist,Ahmet,2023-09-28 05:49:14+00:00,Layout has been created for sign-in sign-up page.,https://github.com/activist-org/activist,52,2023-09-28 02:49:14-03:00,4.0,4.112251882272417,30,neutral,6.666666666666667
activist,Nicholas Vecchio,2023-11-14 06:15:41+00:00,"PageSubPageSelector changed to use HeadlessUI.

- Changed to use Headless UI components

- Manually handling pushes otherwise headlessui accessibility will not function.",https://github.com/activist-org/activist,24,2023-11-13 19:15:41-11:00,6.0,4.112251882272417,21,neutral,9.523809523809524
activist,Matt Burnett,2023-12-04 04:27:10+00:00,fix: Issue #552 add CardFAQEntry,https://github.com/activist-org/activist,59,2023-12-04 03:27:10-01:00,0.0,4.112251882272417,60,neutral,16.666666666666664
activist,Sean Leong,2023-12-30 17:28:09+00:00,fix: Combobox options expand on tab,https://github.com/activist-org/activist,15,2023-12-30 17:28:09+00:00,0.0,4.112251882272417,39,neutral,0.0
activist,Tessa,2024-01-08 03:43:09+00:00,initial setup for the modal share page component,https://github.com/activist-org/activist,71,2024-01-08 09:43:09+06:00,2.0,4.112251882272417,26,neutral,3.8461538461538463
activist,Tanya Kharitonovich,2024-01-21 16:53:07+00:00,refactor: remove reuse code from `SidebarLeftFooter`,https://github.com/activist-org/activist,-75,2024-01-21 15:53:07-01:00,0.0,4.112251882272417,22,neutral,0.0
activist,lucianmurmurache,2024-02-15 11:36:07+00:00,chore: add i18n head plugin,https://github.com/activist-org/activist,8,2024-02-15 10:36:07-01:00,3.0,4.112251882272417,51,neutral,1.96078431372549
